x_min,x_max,y_value,stat_err,sys_err_total,provenance_json
1.92,2.15,3410.0,34.1,102.3,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
2.15,2.40,2895.0,28.9,84.0,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
2.40,2.67,2412.0,24.1,67.5,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
2.67,3.00,1978.0,19.8,53.4,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
3.00,3.35,1589.0,15.9,41.3,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
3.35,3.73,1245.0,12.5,31.1,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
3.73,4.14,952.3,9.52,23.8,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
4.14,4.57,715.8,7.16,17.2,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
4.57,5.06,529.4,5.29,12.7,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
5.06,5.60,384.1,3.84,9.22,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
5.60,6.17,274.5,2.75,6.59,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
6.17,6.79,192.7,1.93,4.43,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
6.79,7.49,133.4,1.33,3.07,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
7.49,8.28,90.82,0.91,2.09,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
8.28,9.16,60.95,0.61,1.40,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
9.16,10.10,40.28,0.40,0.97,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
10.10,11.20,26.13,0.26,0.63,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
11.20,12.40,16.72,0.17,0.42,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
12.40,13.70,10.54,0.11,0.27,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
13.70,15.20,6.52,0.07,0.17,"{""doi"":""10.1103/PhysRevLett.115.211101"",""table"":""T1""}"
